Genus_Taxonomy,gcf_count_unique,gcf_index,gcf_count
Streptomyces,5136,"Index([31953, 22441,  2101, 18765,  1488,  4222,   453, 26384, 19493,  1816,
       ...
       30086, 20256, 22567, 13008, 28624, 30824, 21830,  8309, 15276, 31238],
      dtype='int64', name='gcf_id', length=5136)",[1975 1908 1468 ...    1    1    1]
,3110,"Index([ 1816, 22441, 22488, 10420,  1472, 26384, 31953,  7085,  2101,  1874,
       ...
       23785, 19559,  5270, 13367, 23187, 23649,  1318, 22586,  3562, 15518],
      dtype='int64', name='gcf_id', length=3110)",[273 262 174 ...   1   1   1]
Nocardia,890,"Index([26384, 22441,  9415,  2101, 31953, 24615,  1816, 31945, 27743,  7085,
       ...
        3314, 21351, 25977, 20976, 13353, 17180, 32949,  2355, 29442, 32719],
      dtype='int64', name='gcf_id', length=890)","[233 171 168 168 159 157 148 142 127 105 103 100  98  88  87  81  79  73
  71  69  54  50  42  42  40  40  39  36  36  34  34  33  32  31  29  29
  28  28  26  25  25  25  24  23  23  23  23  22  22  21  21  20  20  20
  20  20  20  20  20  19  19  19  18  18  18  18  18  18  17  17  17  17
  17  16  16  16  15  15  15  15  15  15  14  13  13  13  13  13  13  13
  13  12  12  12  12  12  12  12  12  11  11  11  11  11  11  11  10  10
  10  10  10  10  10  10   9   9   9   9   9   9   9   9   9   9   8   8
   8   8   8   8   8   8   8   8   8   8   8   8   8   8   8   8   8   7
   7   7   7   7   7   7   7   7   7   7   7   7   6   6   6   6   6   6
   6   6   6   6   6   6   6   6   6   6   6   6   6   6   6   6   6   6
   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5
   5   5   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   4   4   4   4   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1]"
Pseudomonas_E,881,"Index([ 4697, 30608, 11409, 19537,  1816, 14341, 31061,  7085,   701, 22812,
       ...
        6959, 28633, 23994,   571, 21820, 27905, 22712,  5628,  3691, 28922],
      dtype='int64', name='gcf_id', length=881)","[4131 3428 2095 2054 1828 1370 1327 1143 1125 1102 1011  963  921  913
  807  789  716  583  564  437  360  353  346  324  315  310  306  271
  254  229  227  221  220  213  141  140  138  133  128  125  123  118
  117  112  109  109  103  102  101  101  101  100   98   97   92   92
   92   91   89   89   87   86   86   86   83   81   79   78   77   77
   74   74   72   71   69   67   65   64   64   63   62   62   61   61
   60   60   60   60   58   57   56   55   54   54   53   51   51   50
   50   50   50   50   49   48   47   47   47   45   44   43   42   42
   41   41   41   40   39   39   39   38   38   37   37   36   36   36
   35   35   33   32   32   32   32   31   31   29   29   29   28   28
   28   27   27   27   27   26   26   25   25   25   24   24   23   23
   23   23   23   23   22   22   22   22   22   22   21   21   21   21
   21   20   20   20   20   20   19   19   19   19   19   18   18   18
   18   18   17   16   16   16   16   16   16   15   15   15   15   15
   15   15   15   15   15   14   14   14   13   13   13   13   13   13
   13   13   13   13   13   13   12   12   12   12   12   11   11   11
   11   11   11   11   11   11   11   10   10   10   10   10   10   10
   10   10   10    9    9    9    9    9    9    9    9    9    9    9
    9    9    9    9    9    9    8    8    8    8    8    8    8    8
    8    8    8    8    8    8    8    8    8    7    7    7    7    7
    7    7    7    7    7    7    7    7    7    7    7    7    7    7
    7    7    7    7    7    7    7    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1]"
Amycolatopsis,700,"Index([22441, 31953,  2101, 30456,  9415, 20523,  8708,  4205, 21796,  5951,
       ...
        9421, 30204, 17844, 33053, 21545,  8664, 30483,  6814, 12681, 29597],
      dtype='int64', name='gcf_id', length=700)","[146 117  98  92  70  55  54  53  46  44  35  33  32  30  30  28  28  27
  27  25  24  23  23  22  21  21  21  21  20  19  18  18  17  17  17  16
  16  15  15  14  14  14  13  13  13  13  13  13  13  12  12  12  12  12
  12  11  11  10  10  10  10  10   9   9   9   9   9   9   9   9   9   9
   9   9   8   8   8   8   8   8   8   8   7   7   7   7   7   7   7   7
   7   7   7   7   7   7   7   7   7   7   7   6   6   6   6   6   6   6
   6   6   6   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5
   5   5   5   5   5   5   5   5   5   5   5   5   5   4   4   4   4   4
   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1]"
Micromonospora,698,"Index([31953, 25962, 31796,  4697, 14713, 22441,   279,  2660,  4997, 18694,
       ...
       17115, 32520,  4052, 28457, 31834, 29792, 24888, 28219, 16126, 24039],
      dtype='int64', name='gcf_id', length=698)","[262 245 218 209 203 196 154 150 104  97  88  88  87  86  85  85  76  73
  73  69  67  66  65  64  57  50  48  48  48  47  46  45  44  43  41  40
  40  38  37  35  32  31  30  30  29  28  26  26  25  25  24  23  23  18
  18  18  18  18  18  17  17  16  15  15  15  15  14  14  14  14  14  14
  14  14  13  13  13  13  12  12  12  11  11  11  11  10  10  10  10  10
   9   9   9   9   9   9   9   8   8   8   8   8   7   7   7   7   7   7
   7   7   7   7   7   6   6   6   6   6   6   6   6   6   6   6   6   6
   6   6   6   6   6   6   5   5   5   5   5   5   5   5   5   5   5   5
   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5
   5   5   5   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   4   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1]"
Kitasatospora,644,"Index([31953, 22441, 18765,  1895, 31508,  2607,  2529, 19070,  8821,  1816,
       ...
       31298,  9714, 14013, 19891, 16477,   213, 21020, 18651, 18887,  2360],
      dtype='int64', name='gcf_id', length=644)","[61 54 53 49 45 41 32 29 25 22 22 21 21 19 19 19 18 18 18 17 17 15 14 14
 14 13 13 13 12 12 12 12 11 11 10 10 10  9  9  9  9  9  8  8  8  8  8  8
  8  8  8  7  7  7  7  7  7  7  7  7  7  7  7  7  7  6  6  6  6  6  6  6
  6  6  6  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  3  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]"
Spirillospora,497,"Index([22441,  2101,   568, 31953, 25879, 18765,  1534,  2732,  1816, 26384,
       ...
       14732, 18895,   490, 29111, 22125,  9198, 19493, 16973,   825, 32835],
      dtype='int64', name='gcf_id', length=497)","[102  52  49  47  46  44  34  29  24  23  21  21  20  20  19  19  17  15
  15  14  13  12  12  12  12  11  11  11  10  10   9   9   9   8   8   8
   7   7   7   7   7   7   6   6   6   6   5   5   5   5   5   5   5   5
   5   5   5   5   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   4   4   4   4   4   4   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1]"
Burkholderia,470,"Index([ 2899,  2822, 30044, 24410, 31103,  3383, 23978,  3601,  1174,  8030,
       ...
       17820,  4021, 10919,  2303, 29470, 13366, 19712, 19293, 29207, 16846],
      dtype='int64', name='gcf_id', length=470)","[3023 2380 2333 2054 1836 1736 1736 1708 1702 1670 1666 1654 1652 1624
 1586 1577 1564 1554 1541 1534 1429 1418 1285 1239 1118 1115 1114 1084
 1059  941  772  628  617  600  573  565  540  470  421  403  380  367
  358  355  349  338  308  273  255  251  249  239  239  230  214  194
  189  182  181  178  165  161  148  144  141  140  137  137  133  129
  121  120  119  115  112  112  111  110  108  104  101  100   97   94
   94   91   90   88   85   83   82   81   80   80   78   72   70   65
   63   60   56   53   52   52   52   52   51   50   50   48   44   43
   43   41   40   39   39   39   38   38   35   35   35   33   33   33
   33   33   32   32   32   31   30   30   30   29   27   26   24   24
   23   23   22   22   22   22   21   20   20   20   19   19   19   18
   18   18   18   17   17   17   17   16   16   15   15   14   14   13
   13   13   13   13   12   12   12   12   12   11   11   11   11   10
   10   10   10    9    9    9    9    9    9    9    9    9    8    8
    8    8    8    8    8    8    8    8    8    8    8    7    7    7
    7    7    7    7    7    7    7    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1]"
Rhodococcus,469,"Index([ 2204,  9415, 24615,  1816,  2039, 10420, 18446,  7085, 17720, 27743,
       ...
        1984, 19606, 20249, 21383, 14819, 14569,    42,  7977, 29898, 33464],
      dtype='int64', name='gcf_id', length=469)","[363 350 343 294 245 188 184 151 127 112 110 108 107 100  95  89  87  83
  77  76  76  76  75  75  74  71  71  70  70  69  65  65  65  65  64  64
  58  56  53  52  51  46  46  44  44  44  44  43  42  42  41  39  38  37
  34  34  33  33  32  32  31  31  31  30  30  29  29  28  28  27  27  26
  26  26  26  26  25  24  24  23  23  23  23  22  22  22  20  19  18  18
  18  17  16  16  15  15  15  14  14  14  14  13  13  13  12  12  12  12
  11  11  11  11  11  11  11  11  10  10  10  10  10  10  10  10   9   9
   9   9   9   9   9   8   8   8   8   8   8   8   8   8   8   7   7   7
   7   7   7   7   7   7   7   7   7   7   7   7   7   6   6   6   6   6
   6   6   6   6   6   6   6   5   5   5   5   5   5   5   5   5   5   5
   5   5   5   5   5   4   4   4   4   4   4   4   4   4   4   4   4   4
   4   4   4   4   4   4   4   4   4   4   4   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3
   3   3   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2   2   2   2   2   2   2   2   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1]"
